"2013-04-01","Programming","Languages","Ruby","How do you print leading zeros?",,"source"
"2013-5-30","Computer Architecture","Memory",,"What is data placement? What is optimal data placement?","data placement refers to where the data sits in memory with relation to the processor. The more often that data can effectively be placed in memory local to the processor that needs it, the more overall access time will benefit from the architecture.",
"2013-5-30","Computer Architecture","Memory",,"What is processor affinity?","It comes up in NUMA, where memory is associated with processors. The problem is when a thread is moved to another processor, without the memory moving with it. Processor affinity means that processors do not lose the local memory they're working with.",
"2013-5-30","Computer Architecture","Memory",,"What is UMA? What is NUMA?","UMA is uniform memory access. NUMA is non-uniform memory access. in UMA, all processors access memory via a shared bus. in NUMA, each processor has its own memory block it can access, and can access other processors' memory blocks via a bus.",
"2013-05-31","Data Science","Bayesian Intro",,"Why did bayesian statistics fall out of favor, replaced with frequentist?","Because people could use different priors and get totally different results","DS notes, page 33"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"If a 95% confidence interval of the effect size includes 0.0, what does this tell us?","This tells us that the p-value is less than 0.05, and hence not statistically significant.","DS notes, page 30"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What are the ways of averaging the effects of different experiments across studies? what is this called?","This is Meta-Analysis. We give more weight to more precise studies using either simple method (weight is determined by sample size) or the inverse-variance (weight is determined by variance of study)","DS notes, page 31"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What is heteroskedasticity?","When members of a population have differing amounts of variance.","DS notes, page 31"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What is the effect size?","Also known as Standard Mean Difference. It is the (mean of experimental group) - (mean of control group) / standard deviation","DS notes, page 30"
"2013-05-29","Data Science","Eventual Consistency",,"What are the phases of two-phase commit","1.action leading to commit occurs 2. master prepares 3. slaves write to logs 4. slaves respond with 'ready' 5. master sends commit command","DS notes, page 23"
"2013-05-29","Data Science","Eventual Consistency",,"What are the three qualities databases can have?","Consistency, Availability, and Partitioning. Consistency means all nodes have the same data, availability means the system can be interacted with in the presence of failures, partitioning means that if two parts of a system can't take to each other, can they make progress on their own?","DS notes, page 23"
"2013-05-30","Data Science","Fraud and Benford's Law",,"What is benford's law? How can it be used to detect fraud?","Fraud is done when data is created with a logistic regression function. Benford's law states that in any sample of a population, the numbers associated with each sample will have a 30% chance of having a first digit of 1. It's been shown that numbers generated with logistic regression do not follow this law. Data must span many orders of magnitude","DS notes, page 31"
"2013-05-20","Data Science","MapReduce","Comparing MR and Dbs","What is one way that relational DBs are more scaleable than MR?","DS notes, page 22",
"2013-05-20","Data Science","MapReduce","Experimental Results: MR and DB","In what ways do DB's outperform MR? In what ways does MR outperform DBs?","DS notes, page 22/23",
"2013-05-20","Data Science","MapReduce","Matrix Implementation","What parallel architecture does MapReduce used? What is shared in it?","DS notes, page 19",
"2013-05-20","Data Science","MapReduce","Matrix Implementation","What are the phases in MapReduce, in general and in Hadoop?","DS notes, page 20",
"2013-06-13","Data Science","MapReduce","Matrix Implementation Overview ","How many times is each chunk replicated on a distributed file system?","DS notes, page 19",
"2013-05-20","Data Science","MapReduce","Matrix Multiply Table","Why do we emit an i,j from A for each one of the columns in B?","DS notes, page 19",
"2013-05-16","Data Science","MapReduce","MR Abstractions","In MapReduce, why must key-value pairs be relatively small?","The pairs must be small enough to fit on one machine",
"2013-05-16","Data Science","MapReduce","MR Abstractions","What is the MapReduce data model?","DS notes, page 16",
"2013-05-16","Data Science","MapReduce","MR Abstractions","What is the pseudocode representation of MapReduce?","DS notes, page 17",
"2013-05-16","Data Science","MapReduce","MR Pseudocode","What is the best way of improving MapReduce performance?","DS notes, page 17",
"2013-05-16","Data Science","MapReduce","MR Pseudocode","Where is the biggest bottleneck of MapReduce?","DS notes, page 17",
"2013-05-16","Data Science","MapReduce","MR Relational Join","Are kv pairs passed to different nodes based on their key during the shuffle phase?",,
"2013-05-16","Data Science","MapReduce","MR Relational Join","Why is the reduce task in a relational join a cartesian product?","DS notes, page 18","The Map phase produces key-value pairs that have a key that is being joined on, then distributes the tuples to the Reducers where each Reducer is given only tuples with the same key. Because each Reducer has a only tuples with the same key that we are joining on, a cartesian product will produce the correct answer for the join."
"2013-05-16","Data Science","MapReduce","MR Text Examples","What does a map function do with a document that is too large to handle?","DS notes, page 17",
"2013-05-16","Data Science","MapReduce","MR Text Examples","What function can stay constant while the other changes?","DS notes, page 17",
"2013-05-16","Data Science","MapReduce","MR Text Examples","What is an inverted index?","DS notes, page 17",
"2013-05-20","Data Science","MapReduce","Parallel Databases","What is a parallel query? How does it differ from a distributed query?","DS notes, page 21",
"2013-05-20","Data Science","MapReduce","Parallel Databases","How does Teradata implement their parallel query structure?","DS notes, page 21",
"2013-05-16","Data Science","MapReduce","Scalability","What is read trimming? How does it change processing time?","DS notes, page 14",
"2013-05-16","Data Science","MapReduce","Scalability","What is scaling up? What is scaling out?","DS notes, page 14",
"2013-05-16","Data Science","MapReduce","Scalability","What is the pattern that takes place when mapreduce is applied?","DS notes, page 15",
"2013-05-31","Data Science","Multiple Hypothesis Testing",,"How do you correct for multiple tests?","By using familywise error rate corrections. bonferroni finds alpha_c by dividing alpha (alpha is familywise error rate, I think it's related to p-value) by the number of hypotheses. Sidak correction asserts independence, and calls alpha equal to 1 - (1-alph_c)^k. then solve for alpha_c.","DS notes, page 32"
"2013-05-31","Data Science","Multiple Hypothesis Testing",,"What is the Benjamani-Hochberg Procedure?","1. compute the p-value of ech of m hypotheses, then order them in increasing order of p-value. compute for each: rank order of hypothesis / # of all hypotheses * alpha. reject all such that the p-value is not less than or equal to it.","DS notes, page 32"
"2013-05-31","Data Science","Multiple Hypothesis Testing",,"What is the false discovery rate?","essentially, it's precision with regards to correctly rejecting null hypotheses","DS notes, page 32"
"2013-05-31","Data Science","Multiple Hypothesis Testing",,"What is the problem with multiple hypothesis tests?","If you keep doing tests, eventually you'll have success.","DS notes, page 32"
"2013-05-28","Data Science","NoSQL Introduction",,"What is the motivation for NoSQL?","to have systems that scale to large amounts of servers","DS notes, page 23"
"2013-05-30","Data Science","Pig","Pig Evaluation","How does Pig apply relational algebra?","It looks at the group/foreach, etc commands, and finds where tasks could be better done in the map function","DS notes, page 30"
"2013-05-30","Data Science","Pig","Pig Functions","How does Pig's group by work?","It is simply a map reduce job; input is tuples, and each tuple is emited with the value you're asking for as the key, and the rest of the tuple as the value. these are then combined by key during reduce.","DS notes, page 28"
"2013-05-30","Data Science","Pig","Pig Intro","What is Pig? Is it a language?","No, it's a layer above MR that produces MR jobs.","DS notes, page 28"
"2013-05-30","Data Science","Pig","Pig Intro","What is the benefit of using Pig?","It is much faster to develop MR jobs, due to using relational algebra statements rather than writing mappers and reducers","DS notes page 28"
"2013-05-30","Data Science","Pig","Pig Join and Co-Group Join","How does cogroup work?","it's essentially a join, in that it grabs all records with matching keys and throws them into a bag. empty set given when there are no matches for one side.","DS notes, page 29"
"2013-05-30","Data Science","Pig","Pig Join and Co-Group Join","What are the three problems that occur in MR jobs? What algorithms are used to address these?","When one table is small, we can replicate this table across all other machines in memory, and hence perform the join ahead of time--Replication. When one reducer gets stuck with a bunch of mapped keys, we can then split up that reducer into more machines--Skew. When your dataset is already sorted, you can perform the join during the map phase--Merge","DS notes, page 29"
"2013-05-30","Data Science","Pig","Pig Join and Co-Group Join","What is the difference between cogroup and join?","join is two steps--create the groups, and then merge them into one tuple each. cogroup is just the first step.","DS notes, page 29"
"2013-05-16","Data Science","PA 2",,"How do you replicate matrix multiplication for sparse tables using sql?",,
"2013-05-16","Data Science","PA 2",,"What is one way of finding the list of documents most relevant to a search?",,
"2013-05-30","Data Science","Publication Bias",,"What explains the cause of the truth wearing off over multiple trials?","The fact that outstanding results are the ones that get published.",
"2013-05-30","Data Science","Publication Bias",,"What is publication bias?",,
"2013-05-31","Data Science","Recap & Big Data",,"What is the curse of big data?","correlations are bound to arise in large data sets","DS notes, page 33"
"2013-05-31","Data Science","Recap & Big Data",,"What happens as you increase N, the number of records?","Bias also tends to increase","DS notes, page 33"
"2013-05-12","Data Science","Relational Algebra","Project, Cross-Product, Equi-Join","Which is more efficient, set semantics or bag semantics?","Bag semantics, as leaving duplicates in place is more efficient; this is what bag does.","DS notes, page 9"
"2013-05-12","Data Science","Relational Algebra",,"What was the original database structure? What were the difficulties? What was its successor? What problems did its successor solve?","DS notes, page 6",
"2013-06-13","Data Science","Relational Algebra",,"What was the original database structure? What were the difficulties? What was its successor? What problems did its successor solve?","DS notes, page 6","source"
"2013-06-13","Data Science","Relational Algebra",,"What is the fundamental problem that relational databases solve?","DS notes, page 6 (briefly, the answer is physical data independence)","source"
"2013-05-16","Data Science","Relational Algebra",,"What are the three types of database functions? when are they used?","DS notes, page 11",
"2013-05-16","Data Science","Relational Algebra",,"What are two execution plans used by database optimizers? what determines what plan is used?","DS notes, page 11",
"2013-05-16","Data Science","Relational Algebra",,"What is logical data independence?","DS notes, page 13",
"2013-05-16","Data Science","Relational Algebra",,"What is physical data independence?","DS notes, page 13",
"2013-05-12","Data Science","Relational Algebra",,"What is the connection between mathematical algebra and relational algebra?","DS notes, page 7",
"2013-05-12","Data Science","Relational Algebra",,"What is the fundamental problem that relational databases solve?","DS notes, page 6 (briefly, the answer is physical data independence)",
"2013-05-12","Data Science","Relational Algebra",,"Which is more efficient, set semantics or bag semantics?","DS notes, page 9",
"2013-05-12","Data Science","Relational Algebra",,"How does the DB handle statements that are logically equivalent?","DS notes, page 9",
"2013-06-13","Data Science","Relational Algebra",,"What is the connection between mathematical algebra and relational algebra?","DS notes, page 7","source"
"2013-05-12","Data Science","Relational Algebra",,"How does the DB handle statements that are logically equivalent?","They are compiled into the same statement.","DS notes, page 9"
"2013-05-29","Data Science","Response to NoSQL Systems",,"How can you avoid using joins?","By nesting records underneath parent records; i.e. organizing them into one access path. This is how DBs were originally structured","DS notes, page 27"
"2013-05-29","Data Science","Response to NoSQL Systems",,"Why do enterprises avoid NoSQL?","DB's need to be correct for financial transactions. Also with 10k db's, there is a need for standardization--not usually doable in nosql systems","DS notes, page 27"
"2013-05-29","Data Science","Types of Distributed Systems","BigTable","Describe bigTable","It uses record-based transactions, joins are compatible with MR, there are integrity constraints. The data model is sparse, distributed, persistent multi-dimensional sorted map. Data is sorted by time.","DS notes, page 26"
"2013-05-29","Data Science","Types of Distributed Systems","BigTable","How are tablets used? How are they kept track of? How are they updated?","tablets hold data that is of similar timestamp(and maybe other qualities?). during a read operation, the sstables (tables on hard disk I guess?) are combined with memtable (memtable holds writes, I think), and when memtable gets too large, it either gets written to a new sstable, or all sstables are combined into one sstable","DS notes, page 26"
"2013-05-29","Data Science","Types of Distributed Systems","CouchDB","How are joins simulated?","Done using mapreduce. Beyond that I'm a little confused. In the example, he talks about emiting a different k-v pair in the map function for different types of data--i.e. a different key for posts and for comments.","DS notes, page 26"
"2013-05-29","Data Science","Types of Distributed Systems","CouchDB","What are the major qualities of couchDB?","The transactions are records-based (rather than granular k-v's, I think), it uses mapreduce for joins/analytics, and you can define views","DS notes, page 26"
"2013-05-29","Data Science","Types of Distributed Systems","CouchDB","What are the qualities of updates?","Full consistency within a document, lock-free concurrency (optimistic, which I don't know the meaning of), no multi-row transactions","DS notes, page 26"
"2013-05-29","Data Science","Types of Distributed Systems","Dynamo","What is configurable consistency?","I'm not 100% sure what it is, but it has to do with the R, W, and N factors. R is the # of nodes needed for successful read, W is same for write, and N is replication factor (not 100% sure but I think that's the number of nodes). If R+W > N, then you can claim consistency. If R + W < N, there is lower latency.","DS notes, page 25"
"2013-05-29","Data Science","Types of Distributed Systems","Dynamo","What is dynamo?","It is a key-value structure like memcache, and 99% of requests respond in 300ms","DS notes, page 25"
"2013-05-29","Data Science","Types of Distributed Systems","Dynamo","When do vector clocks conflict?","Vector clocks conflict when all values in one clock are not later than or equal to all values in the other clock.","DS notes, page 25"
"2013-05-29","Data Science","Types of Distributed Systems","Dynamo","When is reconciliation done?","At read time","DS notes, page 25"
"2013-05-29","Data Science","Types of Distributed Systems","Memcached","How does consistent hashing work?","each node knows the range that other servers deal with, and passes the key to them in log-n time","DS notes, page 24"
"2013-05-29","Data Science","Types of Distributed Systems","Memcached","What are the features of NoSQL?","check notes","DS notes, page 24"
"2013-05-29","Data Science","Types of Distributed Systems","Memcached","What are the major impact systems?","memcached (fast, scalable, no fault tolerance), dynamo (eventual consistency), bigtable (record storage scaled to 1000s of machines)","DS notes, page 24"
"2013-05-29","Data Science","Types of Distributed Systems","Memcached","What are the types of data organization in NoSQL systems?","document (nested values), extensible record (families of attributes have a schema, but new attributes may be added), key-value object (set of k-v's, no schema, no nesting)","DS notes, page 24"
"2013-05-29","Data Science","Types of Distributed Systems","Other Google Systems","What are the other google systems mentioned?","HBase, Megastore, Spanner, Tenzing","DS notes, page 27"
"2013-06-06","Data Science",,,"What are the two types of prediction?","Classification (categorical) and regression (learned attribute is numeric). Though I'm kinda confused by this because logistic regression is used for classification.",
"2013-06-08","Food","Coffee",,"How do you make French press coffee?","1. Boil 18 oz water. 2. Grind 2 tbsp per 6 oz. 3. Put grinds in press mug 4. Put water in 5. Stir 6. Put lid on, twist so as to block the opening. 7. Brew 5-10'mins. 8. Press down.","Talia"
"2013-06-05","Heroku","Troubleshooting",,"What do you do when you get a 500 error?","Make sure your database has been migrated with 'heroku run rake db:migrate', then restart the server. Be patient, it may take a while.",
"2013-05-03","Linux","Command Line",,"How do you find out what cron jobs are running?","ps -ef | grep bash","source"
"2013-05-03","Linux","Command Line",,"When you run ps, there are two process ids listed for each process. what is the difference between them?","the first is the process's pid. the second is that process's parent pid","source"
"2013-06-03","Linux","Command Line",,"How do you stop a cron job that is running?","Find out what the process id of the cron job is, and kill -9 on that process id.","source"
"2013-05-10","Linux","tar",,"How do you uncompress a tar.gz file?",,
"2013-05-10","Linux","tar",,"What is a tar.gz file?","an uncompressed archive",
"2013-04-09","Machine Learning","Cost Function",,"What is the cost function?","1/(2m) * sum(from i = 1 to m) of (h_sub_theta(x_i)) - y_i)^2.",
"2013-04-09","Machine Learning","Cost Function",,"What do we do with the cost function?","It is used in linear regression. we choose theta so as to minimize the cost function.",
"2013-06-06","Machine Learning","Decision Trees",,"How do we compute information gain?","It's entropy of all classifications (just the labels of our training set) minus the entropy of the attribute over the classifications it is associated with.","DS notes, page 38"
"2013-06-06","Machine Learning","Decision Trees",,"How do we define entropy?","We define it as the expected value of information. It is the sum over all events of the probability of each event times the information function of that event.","DS notes, page 37"
"2013-06-06","Machine Learning","Decision Trees",,"How do we define the information function for an event?","It is defined as the log(base 2) of the probability of an event.","DS notes, page 37"
"2013-06-06","Machine Learning","Decision Trees",,"How do we handle continuous attributes?","Group them together by information gain. One way to do this is to put them in order and create partitions that give the most information gain.","DS notes, page 38"
"2013-06-06","Machine Learning","Decision Trees",,"What are the problems with ID3 trees?","They are expensive to train, and they are prone to overfitting.","DS notes, page 38"
"2013-06-06","Machine Learning","Decision Trees",,"What is entropy?","It is a measure of unpredictability.","DS notes, page 37"
"2013-06-06","Machine Learning","Decision Trees",,"What is information gain?","It is the amount of information that knowing the value of an attribute gives us.","DS notes, page 38"
"2013-06-06","Machine Learning","Decision Trees",,"What is the ID3 algorithm?","It is an algorithm for creating a decision tree. First you choose the attribute with highest information gain, then create branches for each value of attribute. Examples are partitioned based on their attributes.","DS notes, page 38"
"2013-04-09","Machine Learning","Feature Scaling",,"What is one problem with gradient descent?","Features may not be on the same scale as each other. i.e. the size of a house is much larger than the number of bedrooms. if you look at the contours of the cost function, in these cases, the elipses will be extremely distorted. gradient descent will take many more steps to finish when this happens.",
"2013-04-09","Machine Learning","Feature Scaling",,"How do you fix the issue with features with unproportional scales?","by dividing each feature by a certain number--for example, divide each square footage number by the difference between the maximum and minimum of numbers in the set, and likewise with number of bedrooms. i.e. normalize them. you can also use x_1 - c_1 to make sure each feature has mean of 0.",
"2013-04-09","Machine Learning","Gradient Descent",,"What is the derivative of the cost function with respect to theta_j?","I'm not typing that, look it up",
"2013-04-09","Machine Learning","Gradient Descent",,"What does the cost function for linear regression always look like?","it always looks like a bow-shaped curve, with one global optima.",
"2013-04-09","Machine Learning","Gradient Descent",,"What is a different name for gradient descent, and why?","Batch gradient descent--'batch' because all examples are examined at the same time.",
"2013-04-09","Machine Learning","Gradient Descent",,"What is the m of the cost function?",,
"2013-04-11","Machine Learning","Gradient Descent",,"What are the advantages of gradient descent?","each iteration is cheap, O(n).",
"2013-04-09","Machine Learning","Gradient Descent",,"What is gradient descent?","It is the process by which we choose theta to minimize the cost function J(theta). You start with a vector of thetas, then keep changing theta so as to reduce J(theta) until we end up at a minimum.",
"2013-04-09","Machine Learning","Gradient Descent",,"What is one problem with gradient descent?","it is possible to fall into local optima rather than global optima",
"2013-04-09","Machine Learning","Gradient Descent",,"Give the formal definition of gradient descent","repeat until convergence: theta_j := theta_j - alpha * J_prime(theta). J_prime(theta) is the first derivative of J with respect to theta_j. update is carried out simultaneously for all thetas 0-n. i.e. compute right-hand side for all i, then update theta_i's",
"2013-04-09","Machine Learning","Gradient Descent",,"What is alpha in the gradient descent formula?","the learning rate",
"2013-04-09","Machine Learning","Gradient Descent",,"What does the learning rate control?","It controls the size of the step we take downward in each iteration",
"2013-04-09","Machine Learning","Gradient Descent",,"What happens as the local minimum is approached?","The steps taken by gradient descent will be smaller. So there is no need to decrease alpha over time.",
"2013-04-11","Machine Learning","Gradient Descent",,"What are the advantages of newton's method?","No parameter selection of alpha, needs fewer iterations.",
"2013-04-11","Machine Learning","Gradient Descent",,"What is the threshold when you should choose newton's method or gradient descent?","The threshold is related to the number of features. If n < 1000, use newton's method, as calculating the inverse of the Hessian matrix is straightforward. If n is around 50k, probably use gradient descent. if n is around 100k, definitely use gradient descent.",
"2013-04-09","Machine Learning","Learning Rate",,"How do you choose the ideal learning rate?","If you graph the minimized cost function against the number of iterations, it will be a gradually decreasing curve, as the cost function gets smaller with more iterations. try several rates on different orders of magnitude, I guess.",
"2013-04-09","Machine Learning","Learning Rate",,"What is a convergence test?","If your learning rate is too large, it may cause the iterations vs. cost function curve to diverge.",
"2013-04-11","Machine Learning","ML Naive Bayes","Generative learning algorithms","What is a discriminative algorithm?","algorithms like logistic regression, which aim to draw a line between two pre-defined sets of examples",
"2013-04-11","Machine Learning","ML Naive Bayes","Generative learning algorithms","What is a generative algorithm?","It is an algorithm that analyses two sets of examples and figures out what their relative probabilities of occurance and co-occurance are, and then draws from that example the probability of future examples belonging to those sets",
"2013-04-11","Machine Learning","ML Naive Bayes","Text Classification","How do we go about classifying an email as spam?","first create a vector that is based on a dictionary. the vector has binary values; 0 if the word does not exist in the email, 1 if it does. then populate vectors based on emails and the word occurences of words in the dictionary",
"2013-04-09","Machine Learning","ML Regression","Linear","How do you create polynomial regression?","by squaring/cubing/square-rooting the values of certain features and applying the same kind of theta coefficients.",
"2013-04-11","Machine Learning","ML Regression","Regularized Linear Regression","How does the update statement change for regularized linear regression?","For updating thetas of features 1 through j, subtract lambda/m * theta_j from the derivative of the cost function (see notes)",
"2013-04-11","Machine Learning","ML Regression","Regularized Linear Regression","note that (1 - alpha*lambda/m) - number < 1","Why?",
"2013-04-11","Machine Learning","ML Regression","Regularized Linear Regression","What is the normal equation adjusted for regularized linear regression?","theta = (X` * X + lambda * identity matrix with top left corner equal to 0)^-1 * X` * y",
"2013-04-11","Machine Learning","ML Regression","Regularized Linear Regression","What problem does the regularization of the normal equation solve?"," (X` * X + lambda * identity matrix with top left corner equal to 0) will now be invertible if there are more features than training examples (or other way around? I forget)",
"2013-04-11","Machine Learning","ML Regression","Regularized Logistic Regression","How do we change our logistic cost function to account for regularization?","add lambda/(2*m) * sum from 1 to n (theta_j^2) to it",
"2013-04-11","Machine Learning","ML Regression","Regularized Logistic Regression","How do we change our gradient descent update function to account for regularization?","for j > 0, subtract lambda/m * theta_j from it",
"2013-04-11","Machine Learning","ML Regression","Regularized Logistic Regression","How do we change the formula for newton's method?","theta_new = theta - Hessian_inverse * gradient vector remains the same. However the Hessian matrix gets lambda/m * identity matrix with top left corner set to zero added to it",
"2013-04-11","Machine Learning","ML Regression","Regularized Logistic Regression","How do we ensure that gradient descent is working?","make sure the cost function is decreasing over number of iterations",
"2013-04-10","Machine Learning","ML Regression",,"You could use linear regression and a threshold value to classify, but what is the problem with that?","If you have training examples that throw off the curve, the line that is drawn may not be accurate. See video 16 of 30 on openclassroom.",
"2013-04-10","Machine Learning","ML Regression",,"How do you create a probability function from the cost function?","use the sigmoid function. 1 / (1 + e ^z). plug your regression model into z. this gives a uniform mapping from 0 to 1.","http://openclassroom.stanford.edu/MainFolder/CoursePage.php?course=MachineLearning"
"2013-04-10","Machine Learning","ML Regression",,"What is the derivative of the logistic regression cost function with respect to theta_j?","same form as with linear regression: theta := theta - alpha * [1/m * sum from 1 to m of((hypothesis_fxn(x_i) - y_i)]",
"2013-04-10","Machine Learning","ML Regression",,"What is the general update function form?","theta := theta - alpha * cost function first derivative(theta)",
"2013-04-11","Machine Learning","Newton's method",,"What is the algorithm that Newton's method follows?","create a function f(theta) = derivative of cost function with respect to theta(theta). graph it with respect to theta. pick random theta. draw a tangent at this point, then find where that tangent is equal to zero. Find theta at that point. set theta to that value, repeat.",
